<ID|readonly|noverify>;<English>
us_elco_80ft_pt174_0;Elco 80' Class Patrol Torpedo Boat, United States Ship PT-174, 1943
us_elco_80ft_pt174_1;USS PT-174
us_elco_80ft_pt174_2;Patrol Torpedo Boat
us_elco_80ft_pt109_boat_shop;USS PT-109
us_elco_80ft_pt109_boat_0;Elco 80' Class Patrol Torpedo Boat, United States Ship PT-109, 1942
us_elco_80ft_pt109_boat_1;USS PT-109
us_elco_80ft_pt109_boat_2;Patrol Torpedo Boat
us_elco_80ft_pt_boat_mod01_shop;USS PT-314
us_elco_80ft_pt_boat_mod01_0;Elco 80' Class Patrol Torpedo Boat, United States Ship PT-314
us_elco_80ft_pt_boat_mod01_1;USS PT-314
us_elco_80ft_pt_boat_mod01_2;Patrol Torpedo Boat
us_elco_80ft_pt_boat_mod02_shop;USS PT-565
us_elco_80ft_pt_boat_mod02_0;Elco 80' Class Patrol Torpedo Boat, United States Ship PT-565
us_elco_80ft_pt_boat_mod02_1;USS PT-565
us_elco_80ft_pt_boat_mod02_2;Patrol Torpedo Boat
us_higgins_78ft_pt625_shop;USS PT-625
us_higgins_78ft_pt625_0;Higgins 78' Class Patrol Torpedo Boat, United States Ship PT-625
us_higgins_78ft_pt625_1;USS PT-625
us_higgins_78ft_pt625_2;Patrol Torpedo Boat
us_elco_77ft_pt59_shop;USS PT-59
us_elco_77ft_pt59_0;Elco 77' Class Patrol Torpedo Boat, United States Ship PT-59
us_elco_77ft_pt59_1;USS PT-59
us_elco_77ft_pt59_2;Patrol Gun Boat
us_pgm_59_class_shop;RVNS Kim Qui
us_pgm_59_class_0;PGM-59 Class Patrol Gunboat, Motor, Republic of Vietnam Navy Ship Kim Qui (HQ 605) [VNM]
us_pgm_59_class_1;RVNS Kim Qui
us_pgm_59_class_2;Patrol Gunboat, Motor
us_lcm_zippo_shop;LCM(6)(F)
us_lcm_zippo_0;Landing Craft, Mechanized, Mark 6 (Flamethrower) "Zippo"
us_lcm_zippo_1;LCM(6)(F)
us_lcm_zippo_2;River Monitor
us_elco_80ft_pt_boat_thunderbolt_shop;USS PT-556
us_elco_80ft_pt_boat_thunderbolt_0;Elco 80' Class Patrol Torpedo Boat, United States Ship PT-556 «Thunderbolt», 1944
us_elco_80ft_pt_boat_thunderbolt_1;USS PT-556
us_elco_80ft_pt_boat_thunderbolt_2;Patrol Torpedo Boat
us_higgins_78ft_pt658_shop;USS PT-658
us_higgins_78ft_pt658_0;Higgins 78' Class Patrol Torpedo Boat, United States Ship PT-658
us_higgins_78ft_pt658_1;USS PT-658
us_higgins_78ft_pt658_2;Patrol Torpedo Boat
us_tucumcari_pgh2_shop;USS Tucumcari
us_tucumcari_pgh2_0;Tucumcari Class Patrol Gunboat, United States Ship Tucumcari (PGH-2), 1968
us_tucumcari_pgh2_1;USS Tucumcari
us_tucumcari_pgh2_2;Gunboat
us_pt812_shop;USS PT-812
us_pt812_0;105' Aluminum Patrol Torpedo Boat, United States Ship PT-812, 1955
us_pt812_1;USS PT-812
us_pt812_2;Patrol Torpedo Boat
us_admirable_class_shop;USS Candid
us_admirable_class_0;Admirable Class Minesweeper, United States Ship Candid (AM-154), 1943
us_admirable_class_1;USS Candid
us_admirable_class_2;Minesweeper
us_ashville_class_shop;USS Asheville
us_ashville_class_0;Asheville Class Gunboat, United States Ship Asheville (PGM-84), 1966
us_ashville_class_1;USS Asheville
us_ashville_class_2;Gunboat
us_ashville_class_douglas_shop;USS Douglas
us_ashville_class_douglas_0;Asheville Class Gunboat, United States Ship Douglas (PGM-100), 1977
us_ashville_class_douglas_1;USS Douglas
us_ashville_class_douglas_2;Gunboat
us_pt811_shop;USS PT-811
us_pt811_0;94' Aluminum Patrol Torpedo Boat, United States Ship PT-811, 1956
us_pt811_1;USS PT-811
us_pt811_2;Patrol Torpedo Boat
us_pt810_shop;PT-810
us_pt810_0;89' Aluminum Patrol Torpedo Boat, United States Ship PT-810, 1955
us_pt810_1;PT-810
us_pt810_2;Patrol Torpedo Boat
us_frigate_tacoma_shop;USS Hoquiam
us_frigate_tacoma_0;Tacoma Class Patrol Frigate, United States Ship Hoquiam (PF-5), 1943
us_frigate_tacoma_1;USS Hoquiam
us_frigate_tacoma_2;Patrol Frigate
us_lcs_l_3_shop;LCS(L)(3)-102
us_lcs_l_3_0;Landing Craft Support (Large) Mark 3, United States Ship LCS(L)(3)-102, 1945
us_lcs_l_3_1;LCS(L)(3)
us_lcs_l_3_2;Gunboat
us_cyclone_class_cyclone_shop;USS Cyclone
us_cyclone_class_cyclone_0;Cyclone Class Patrol Boat, United States Ship Cyclone (PC-1), 1993
us_cyclone_class_cyclone_1;USS Cyclone
us_cyclone_class_cyclone_2;Patrol Boat
;
;
USSR_ARMY;
ussr_bt_5_shop;BT-5
ussr_bt_5_0;Bystrokhodny Tank5 Obraztsa 1933 Goda "Betushka"
ussr_bt_5_1;BT-5
ussr_bt_5_2;Light tank
ussr_rbt_5_shop;Raketny Bystrokhodny Tank 5
ussr_rbt_5_0;RBT-5
ussr_rbt_5_1;RBT-5
ussr_rbt_5_2;Light tank
ussr_bt_7_1937_shop;BT-7
ussr_bt_7_1937_0;Bystrochodnij Tank 7 Obraztsa 1937 Goda
ussr_bt_7_1937_1;BT-7
ussr_bt_7_1937_2;Light tank
ussr_bt_7_1937_race_shop;▹ BT-7
ussr_bt_7_1937_race_0;▹ Bystrochodnij Tank 7 Obraztsa 1937 Goda
ussr_bt_7_1937_race_1;▹ BT-7
ussr_bt_7_1937_race_2;▹ Light tank
ussr_bt_7_1937_td_shop;␙ BT-7
ussr_bt_7_1937_td_0;␙ Bystrochodnij Tank 7 Obraztsa 1937 Goda
ussr_bt_7_1937_td_1;␙ BT-7
ussr_bt_7_1937_td_2;Light Tank
ussr_bt_7a_f32_shop;BT-7A
ussr_bt_7a_f32_0;Bystrochodnij Tank 7 Artilleriyskiye (F-32)
ussr_bt_7a_f32_1;BT-7A
ussr_bt_7a_f32_2;Light tank
ussr_bt_7_m_shop;BT-7M
ussr_bt_7_m_0;Bystrochodnij Tankov 7 Modifitsirovannyy
ussr_bt_7_m_1;BT-7M
ussr_bt_7_m_2;Light tank
ussr_ba_11_shop;BA-11
ussr_ba_11_0;Broneavtomobil 11
ussr_ba_11_1;BA-11
ussr_ba_11_2;Armored Car
ussr_bm_8_24_shop;BM-8-24
ussr_bm_8_24_0;Boyevaya Mashina 8-24
ussr_bm_8_24_1;BM-8-24
ussr_bm_8_24_2;MLRS
ussr_bm_31_12_shop;BM-31-12
ussr_bm_31_12_0;Boyevaya Mashina 31-12 "Andryusha"
ussr_bm_31_12_1;BM-31-12
ussr_bm_31_12_2;MLRS
ussr_bm_13n_shop;BM-13N-16
ussr_bm_13n_0;Boyevaya Mashina 13 Normalizovanniy 16 "Katyusha"
ussr_bm_13n_1;BM-13N-16
ussr_bm_13n_2;MLRS
ussr_smk_shop;SMK
ussr_smk_0;Sergey Mironovich Kirov
ussr_smk_1;SMK
ussr_smk_2;Heavy tank
ussr_kv_1_L_11_shop;KV-1 obr.1939
ussr_kv_1_L_11_0;Kliment Voroshilov 1 Obraztsa 1939 Goda
ussr_kv_1_L_11_1;KV-1 obr.1939
ussr_kv_1_L_11_2;Heavy tank
ussr_kv_1e_shop;KV-1 obr.1940 Ekran.
ussr_kv_1e_0;Kliment Voroshilov 1 Obraztsa 1940 Goda s Ekranami
ussr_kv_1e_1;KV-1E obr.1940
ussr_kv_1e_2;Heavy tank
ussr_kv_1_zis_5_shop;KV-1 obr.1941
ussr_kv_1_zis_5_0;Kliment Voroshilov 1 Obraztsa 1941 Goda
ussr_kv_1_zis_5_1;KV-1 obr.1941
ussr_kv_1_zis_5_2;Heavy tank
ussr_kv_1s_shop;KV-1S obr.1942
ussr_kv_1s_0;Kliment Voroshilov 1 Skorokhodnuyu
ussr_kv_1s_1;KV-1S obr.1942
ussr_kv_1s_2;Heavy tank
ussr_kv_2_1939_shop;KV-2 obr.1939
ussr_kv_2_1939_0;Kliment Voroshilov 2 Obraztsa 1939 Goda
ussr_kv_2_1939_1;KV-2 obr.1939
ussr_kv_2_1939_2;Heavy tank
ussr_kv_2_1940_shop;KV-2 obr.1940
ussr_kv_2_1940_0;Kliment Voroshilov 2 Obraztsa 1940 Goda
ussr_kv_2_1940_1;KV-2 obr.1940
ussr_kv_2_1940_2;Heavy tank
ussr_kv_2_zis_6_shop;KV-2 (ZiS-6)
ussr_kv_2_zis_6_0;Kliment Voroshilov 2 (ZiS-6)
ussr_kv_2_zis_6_1;KV-2 (ZiS-6)
ussr_kv_2_zis_6_2;Heavy tank
ussr_kv_85_shop;KV-85
ussr_kv_85_0;Ob'yekt 239 | Kliment Voroshilov 85
ussr_kv_85_1;KV-85
ussr_kv_85_2;Heavy tank
ussr_kv_122_shop;KV-122
ussr_kv_122_0;Ob'yekt 239 | Kliment Voroshilov 122
ussr_kv_122_1;KV-122
ussr_kv_122_2;Heavy tank
ussr_kv_220_shop;KV-220
ussr_kv_220_0;Ob'yekt 220 | Kliment Voroshilov 220
ussr_kv_220_1;KV-220
ussr_kv_220_2;Heavy tank
ussr_is_1_shop;IS-1
ussr_is_1_0;Ob'yekt 237 | Iosif Stalin 1
ussr_is_1_1;IS-85
ussr_is_1_2;Heavy tank
ussr_is_2_1943_shop;IS-2 obr.1943
ussr_is_2_1943_0;Ob'yekt 240 | Iosif Stalin 2 Obraztsa 1943 Goda
ussr_is_2_1943_1;IS-2 obr.1943
ussr_is_2_1943_2;Heavy tank
ussr_is_2_1944_shop;IS-2 obr.1944
ussr_is_2_1944_0;Ob'yekt 240 | Iosif Stalin 2 Obraztsa 1944 Goda
ussr_is_2_1944_1;IS-2 obr.1944
ussr_is_2_1944_2;Heavy tank
ussr_is_2_1944_321_shop;IS-2 obr.1944 [№321]
ussr_is_2_1944_321_0;Ob'yekt 240 | Iosif Stalin 2 Obraztsa 1944 Goda [№321]
ussr_is_2_1944_321_1;IS-2 obr.1944
ussr_is_2_1944_321_2;Heavy tank
ussr_is_2_1944_revenge_shop;IS-2 obr.1944 «Myest' za Brata Gyeroya»
ussr_is_2_1944_revenge_0;Ob'yekt 240 | Iosif Stalin 2 Obraztsa 1944 Goda [48-j Otdyel'nyj Gvardyejskij Tyazholyj Tankovyj Polk] «Myest' za Brata Gyeroya»
ussr_is_2_1944_revenge_1;IS-2 obr.1944
ussr_is_2_1944_revenge_2;Heavy tank
ussr_is_3_shop;IS-3
ussr_is_3_0;Ob'yekt 703 | Iosif Stalin 2
ussr_is_3_1;IS-3
ussr_is_3_2;Heavy tank
ussr_is_4m_shop;IS-4M
ussr_is_4m_0;Ob'yekt 701 | Iosif Stalin 4 Modernizirovany
ussr_is_4m_1;IS-4M
ussr_is_4m_2;Heavy tank
ussr_is_4m_tutorial_shop;IS-4M
ussr_is_4m_tutorial_0;Ob'yekt 701 | Iosif Stalin 4 Modernizirovany
ussr_is_4m_tutorial_1;IS-4M
ussr_is_4m_tutorial_2;Heavy tank
ussr_object_248_shop;IS-5
ussr_object_248_0;Ob'yekt 248 | Iosif Stalin 5
ussr_object_248_1;IS-5
ussr_object_248_2;Heavy Tank
ussr_is_6_shop;IS-6
ussr_is_6_0;Ob'yekt 252 | Iosif Stalin 6
ussr_is_6_1;IS-6
ussr_is_6_2;Heavy tank
ussr_is_7_shop;IS-7
ussr_is_7_0;Ob'yekt 260 | Iosif Stalin 7
ussr_is_7_1;IS-7
ussr_is_7_2;Heavy tank
ussr_t_10a_shop;T-10A
ussr_t_10a_0;Ob'yekt 731 | T-10A
ussr_t_10a_1;T-10A
ussr_t_10a_2;Heavy tank
ussr_t_10m_shop;T-10M
ussr_t_10m_0;Ob'yekt 734 | T-10 Modernizirovany
ussr_t_10m_1;T-10M
ussr_t_10m_2;Heavy tank
ussr_su_5_1_shop;SU-5-1
ussr_su_5_1_0;Samohodnaya Ustanovka 5-1
ussr_su_5_1_1;SU-5-1
ussr_su_5_1_2;SPG
ussr_su_57_shop;SU-57
ussr_su_57_0;Samohodnaya Ustanovka 57
ussr_su_57_1;SU-57
ussr_su_57_2;SPG
ussr_su_57b_shop;SU-57B
ussr_su_57b_0;Samohodnaya Ustanovka 57B
ussr_su_57b_1;SU-57B
ussr_su_57b_2;SPG
ussr_su_76d_shop;SU-76D
ussr_su_76d_0;Samohodnaya Ustanovka 76D
ussr_su_76d_1;SU-76D
ussr_su_76d_2;SPG
ussr_su_76m_1943_shop;SU-76M
ussr_su_76m_1943_0;Samohodnaya Ustanovka 76M
ussr_su_76m_1943_1;SU-76M
ussr_su_76m_1943_2;SPG
ussr_su_76m_5st_kav_corps_shop;SU-76M [5-j Gv.Kav.Korp]
ussr_su_76m_5st_kav_corps_0;Samohodnaya Ustanovka 76M [5-j Gvardyejskij Kavalyerijskij Korpus]
ussr_su_76m_5st_kav_corps_1;SU-76M
ussr_su_76m_5st_kav_corps_2;SPG
ussr_su_85_1943_shop;SU-85
ussr_su_85_1943_0;Ob'yekt 139 | Samohodnaya Ustanovka 85
ussr_su_85_1943_1;SU-85
ussr_su_85_1943_2;SPG
ussr_su_85a_shop;SU-85A
ussr_su_85a_0;Ob'yekt 139 | Samohodnaya Ustanovka 85A
ussr_su_85a_1;SU-85A
ussr_su_85a_2;SPG
ussr_su_85m_shop;SU-85M
ussr_su_85m_0;Ob'yekt 139 | Samohodnaya Ustanovka 85M
ussr_su_85m_1;SU-85M
ussr_su_85m_2;SPG
ussr_su_100_1945_shop;SU-100
ussr_su_100_1945_0;Ob'yekt 138 | Samohodnaya Ustanovka 100
ussr_su_100_1945_1;SU-100
ussr_su_100_1945_2;SPG
ussr_su_100p_shop;SU-100P
ussr_su_100p_0;Ob'yekt 105 | Samohodnaya Ustanovka 100P
ussr_su_100p_1;SU-100P
ussr_su_100p_2;SPG
ussr_su_100Y_shop;SU-100Y
ussr_su_100Y_0;Samohodnaya Ustanovka 100Y
ussr_su_100Y_1;SU-100Y
ussr_su_100Y_2;SPG
ussr_su_122_shop;SU-122
ussr_su_122_0;Samohodnaya Ustanovka 122
ussr_su_122_1;SU-122
ussr_su_122_2;SPG
ussr_su_122P_shop;SU-122P
ussr_su_122P_0;Samohodnaya Ustanovka 122P
ussr_su_122P_1;SU-122P
ussr_su_122P_2;SPG
ussr_su_122_54_shop;SU-122-54
ussr_su_122_54_0;Ob'yekt 600 | Samohodnaya Ustanovka 122 Obraztsa 1954 Goda
ussr_su_122_54_1;SU-122-54
ussr_su_122_54_2;SPG
ussr_su_152_shop;SU-152
ussr_su_152_0;Ob'yekt 236 | Samohodnaya Ustanovka 152 "Zveroboy"
ussr_su_152_1;SU-152
ussr_su_152_2;SPG
ussr_isu_122_shop;ISU-122
ussr_isu_122_0;Ob'yekt 243 | Istrebitelnaja Samohodnaya Ustanovka 122
ussr_isu_122_1;ISU-122
ussr_isu_122_2;SPG
ussr_isu_122s_shop;ISU-122S
ussr_isu_122s_0;Ob'yekt 249 | Istrebitelnaja Samohodnaya Ustanovka 122S
ussr_isu_122s_1;ISU-122S
ussr_isu_122s_2;SPG
ussr_isu_152_shop;ISU-152
ussr_isu_152_0;Ob'yekt 241 | Istrebitelnaja Samokhodnaya Ustanovka 152 "Zveroboy"
ussr_isu_152_1;ISU-152
ussr_isu_152_2;SPG
ussr_asu_57_shop;ASU-57
ussr_asu_57_0;Ob'yekt 572 | Aviadesantnaya Samokhodnaya Ustanovka 57
ussr_asu_57_1;ASU-57
ussr_asu_57_2;SPG
ussr_asu_85_shop;ASU-85
ussr_asu_85_0;Ob'yekt 573 | Aviadesantnaya Samokhodnaya Ustanovka 85
ussr_asu_85_1;ASU-85
ussr_asu_85_2;SPG
ussr_zsu_29k_shop;ZSU 29K
ussr_zsu_29k_0;Zenitnaya Samokhodnaya Ustanovka 29K
ussr_zsu_29k_1;ZSU 29K
ussr_zsu_29k_2;SPG
ussr_zis_30_shop;ZiS-30
ussr_zis_30_0;Zavod imeni Stalina 30
ussr_zis_30_1;ZiS-30
ussr_zis_30_2;SPG
ussr_t_26_1940_shop;T-26
ussr_t_26_1940_0;T-26 Obraztsa 1939 Goda
ussr_t_26_1940_1;T-26
ussr_t_26_1940_2;Light tank
ussr_t_26_1940_1st_GvTBr_shop;T-26 [1-ya Gv.T.Br.]
ussr_t_26_1940_1st_GvTBr_0;T-26 obr.1940g. [1-ya Gvardyeyskaya Tankovaya Brigada]
ussr_t_26_1940_1st_GvTBr_1;T-26
ussr_t_26_1940_1st_GvTBr_2;Light tank
ussr_t_26E_shop;T-26E
ussr_t_26E_0;T-26 Obraztsa 1940 Goda Ekranirovannyy
ussr_t_26E_1;T-26
ussr_t_26E_2;Light tank
ussr_t_26_4_shop;T-26A
ussr_t_26_4_0;T-26 Artilleriyskiye
ussr_t_26_4_1;T-26-4
ussr_t_26_4_2;Light tank
ussr_t_28_1938_shop;T-28 obr.1936
ussr_t_28_1938_0;T-28 Obraztsa 1936
ussr_t_28_1938_1;T-28
ussr_t_28_1938_2;Medium tank
ussr_t_28_shop;T-28 obr.1938
ussr_t_28_0;T-28 Obraztsa 1938 Goda
ussr_t_28_1;T-28
ussr_t_28_2;Medium tank
ussr_t_28E_shop;T-28 obr.1938 Ekran.
ussr_t_28E_0;T-28 Obraztsa 1938 Goda Ekranirovannyy
ussr_t_28E_1;T-28E
ussr_t_28E_2;Medium tank
ussr_t_35_shop;T-35
ussr_t_35_0;T-35 obr.1935g.
ussr_t_35_1;T-35
ussr_t_35_2;Heavy tank
ussr_t_126sp_shop;T-126
ussr_t_126sp_0;Ob'yekt 126SP | T-126 Soprovozhdeniya Pekhoty
ussr_t_126sp_1;T-126
ussr_t_126sp_2;Light tank
ussr_t_50_shop;T-50
ussr_t_50_0;Ob'yekt 135 | T-50
ussr_t_50_1;T-50
ussr_t_50_2;Light tank
ussr_t_50_for_tutorial_shop;T-50
ussr_t_50_for_tutorial_0;Ob'yekt 135 | T-50
ussr_t_50_for_tutorial_1;T-50
ussr_t_50_for_tutorial_2;Light tank
ussr_t_60_1941_shop;T-60
ussr_t_60_1941_0;Ob'yekt 0-60 | T-60 Obraztsa 1942 Goda
ussr_t_60_1941_1;T-60
ussr_t_60_1941_2;Light tank
ussr_t_70_1942_shop;T-70
ussr_t_70_1942_0;Ob'yekt 0-70 | T-70 Obraztsa 1942 Goda
ussr_t_70_1942_1;T-70
ussr_t_70_1942_2;Light tank
ussr_t_80_shop;T-80
ussr_t_80_0;Ob'yekt 0-80 | T-80
ussr_t_80_1;T-80
ussr_t_80_2;Light tank
ussr_t_34_1940_l_11_shop;Ob'yekt A-34
ussr_t_34_1940_l_11_0;Ob'yekt A-34
ussr_t_34_1940_l_11_1;A-34
ussr_t_34_1940_l_11_2;Medium tank
ussr_t_34_1941_l_11_shop;T-34 obr.1940
ussr_t_34_1941_l_11_0;T-34 Obraztsa 1940 Goda
ussr_t_34_1941_l_11_1;T-34 1940
ussr_t_34_1941_l_11_2;Medium tank
ussr_t_34_1941_shop;T-34 obr.1941
ussr_t_34_1941_0;T-34 Obraztsa 1941 Goda
ussr_t_34_1941_1;T-34 1941
ussr_t_34_1941_2;Medium tank
ussr_t_34_1941_cast_turret_shop;T-34 obr.1941 [1-ya Gv.T.Br.]
ussr_t_34_1941_cast_turret_0;T-34 Obraztsa 1941 Goda [1-ya Gvardyejskaya Tankovaya Brigada]
ussr_t_34_1941_cast_turret_1;T-34 obr.41
ussr_t_34_1941_cast_turret_2;Medium tank
ussr_t_34_1942_shop;T-34 obr.1942
ussr_t_34_1942_0;T-34 Obraztsa 1942 Goda
ussr_t_34_1942_1;T-34 obr.1942
ussr_t_34_1942_2;Medium tank
ussr_t_34E_shop;T-34 Ekran.
ussr_t_34E_0;T-34 Obraztsa 1941 Goda s Ekranami
ussr_t_34E_1;TT-34E
ussr_t_34E_2;Medium tank
ussr_t_34E_STZ_shop;T-34 Ekran. (STZ)
ussr_t_34E_STZ_0;T-34 Obraztsa 1941 Goda s Ekranami (Stalingradsky Traktoriy Zavod)
ussr_t_34E_STZ_1;T-34E
ussr_t_34E_STZ_2;Medium tank
ussr_t_34_1941_57_shop;T-34 1941 s ZiS-4
ussr_t_34_1941_57_0;T-34 Obraztsa 1941 Goda s ZiS-4
ussr_t_34_1941_57_1;T-34 1941 s ZiS-4
ussr_t_34_1941_57_2;Medium tank
ussr_t_34_57_1943_shop;T-34 1942 s ZiS-4
ussr_t_34_57_1943_0;T-34 Obraztsa 1942 Goda s ZiS-4
ussr_t_34_57_1943_1;T-34 1942 s ZiS-4
ussr_t_34_57_1943_2;Medium tank
ussr_t_34_85_d_5t_shop;T-34-85 obr.1943
ussr_t_34_85_d_5t_0;T-34-85 Obraztsa 1943 Goda
ussr_t_34_85_d_5t_1;T-34-85 obr.1943
ussr_t_34_85_d_5t_2;Medium tank
ussr_t_34_85_zis_53_shop;T-34-85 obr.1944
ussr_t_34_85_zis_53_0;T-34-85 Obraztsa 1944 Goda
ussr_t_34_85_zis_53_1;T-34-85 obr.1944
ussr_t_34_85_zis_53_2;Medium tank
ussr_t_34_85E_shop;T-34-85 Ekran.
ussr_t_34_85E_0;T-34-85 Obraztsa 1944 Goda s Ekranami
ussr_t_34_85E_1;T-34-85
ussr_t_34_85E_2;Medium tank
ussr_t_34_100_shop;T-34-100
ussr_t_34_100_0;T-34-100 (LB-100)
ussr_t_34_100_1;T-34-100
ussr_t_34_100_2;Medium tank
ussr_t_44_shop;T-44A
ussr_t_44_0;Ob'yekt 136 | T-44A
ussr_t_44_1;T-44
ussr_t_44_2;Medium tank
ussr_t_44_100_shop;T-44B
ussr_t_44_100_0;Ob'yekt 136 | T-44B
ussr_t_44_100_1;T-44-100
ussr_t_44_100_2;Medium tank
ussr_t_44_122_shop;T-44-122
ussr_t_44_122_0;Ob'yekt 136 | T-44-122
ussr_t_44_122_1;T-44-122
ussr_t_44_122_2;Medium tank
ussr_t_54_1947_shop;T-54-1
ussr_t_54_1947_0;Ob'yekt 137-I | T-54-1 Obraztsa 1947 Goda
ussr_t_54_1947_1;T-54-1
ussr_t_54_1947_2;Medium tank
ussr_t_54_1949_shop;T-54-2
ussr_t_54_1949_0;Ob'yekt 137-II | T-54 Obraztsa 1949 Goda
ussr_t_54_1949_1;T-54-2
ussr_t_54_1949_2;Medium tank
ussr_t_54_1951_shop;T-54-3
ussr_t_54_1951_0;Ob'yekt 137-III | T-54 Obraztsa 1951 Goda
ussr_t_54_1951_1;T-54-3
ussr_t_54_1951_2;Medium tank
ussr_t_55a_shop;T-55A
ussr_t_55a_0;Ob'yekt 155A | T-55A
ussr_t_55a_1;T-55A
ussr_t_55a_2;Medium tank
ussr_t_55_am_shop;T-55AM-1
ussr_t_55_am_0;Ob'yekt 155AM-1 | T-55A Modernizirovany 1
ussr_t_55_am_1;T-55AM-1
ussr_t_55_am_2;Medium tank
ussr_t_55_amd_1_shop;T-55AMD-1
ussr_t_55_amd_1_0;Ob'yekt 155AMD-1 | T-55A Modernizirovany Drozd 1
ussr_t_55_amd_1_1;T-55AMD-1
ussr_t_55_amd_1_2;Medium tank
ussr_to_55_shop;TO-55
ussr_to_55_0;Ob'yek 482 | To-55
ussr_to_55_1;Tank Ognemotnyy 1955 Model
ussr_to_55_2;Medium Tank
ussr_t_62_shop;T-62
ussr_t_62_0;Ob'yekt 166 | T-62
ussr_t_62_1;T-62
ussr_t_62_2;Medium tank
ussr_t_62m1_shop;T-62M-1
ussr_t_62m1_0;Ob'yekt 166M-1 | T-62 Modernizirovany 1
ussr_t_62m1_1;T-62M-1
ussr_t_62m1_2;Medium tank
ussr_t_64a_1971_shop;T-64A
ussr_t_64a_1971_0;Ob'yekt 434 | T-64A
ussr_t_64a_1971_1;T-64A
ussr_t_64a_1971_2;MBT
ussr_t_64_b_1984_shop;T-64BV
ussr_t_64_b_1984_0;Ob'yekt 447AV | T-64B Vzryvnoi
ussr_t_64_b_1984_1;T-64BV
ussr_t_64_b_1984_2;MBT
ussr_t_72a_shop;T-72A
ussr_t_72a_0;Ob'yekt 176 | T-72A
ussr_t_72a_1;T-72A
ussr_t_72a_2;MBT
ussr_t_72av_turms_shop;T-72AV
ussr_t_72av_turms_0;Ob'yekt 176V | T-72A Vzryvnoi (Tank Universal Reconfigurable Modular System - T)
ussr_t_72av_turms_1;T-72AV
ussr_t_72av_turms_2;MBT
ussr_t_72b_shop;T-72BV
ussr_t_72b_0;Ob'yekt 184 | T-72B Vzryvnoi
ussr_t_72b_1;T-72B
ussr_t_72b_2;MBT
ussr_t_72b_1989_shop;T-72B obr.1985
ussr_t_72b_1989_0;Ob'yekt 184A | T-72BA Obraztsa 1985 Goda
ussr_t_72b_1989_1;T-72B
ussr_t_72b_1989_2;SPG
ussr_t_72b3_2011_shop;T-72B3
ussr_t_72b3_2011_0;Ob'yekt 184B | T-72B3
ussr_t_72b3_2011_1;T-72B3
ussr_t_72b3_2011_2;MBT
ussr_t_72b3_2017_race_shop;▹ T-72B3
ussr_t_72b3_2017_race_0;▹ Ob'yekt 184B | T-72B3
ussr_t_72b3_2017_race_1;▹ T-72B3
ussr_t_72b3_2017_race_2;▹ MBT
ussr_t_72m2_moderna_shop;T-72M2 №401
ussr_t_72m2_moderna_0;T-72M2 Moderna
ussr_t_72m2_moderna_1;T-72M2
ussr_t_72m2_moderna_2;MBT
ussr_t_80b_shop;T-80B
ussr_t_80b_0;Ob'yekt 219R | T-80B Obraztsa
ussr_t_80b_1;T-80B
ussr_t_80b_2;MBT
ussr_t_80bvm_shop;T-80BVM
ussr_t_80bvm_0;Ob'yekt 219RVM | T-80B Vzryvnoy Modernizirovany
ussr_t_80bvm_1;T-80BVM
ussr_t_80bvm_2;MBT
ussr_t_80u_shop;T-80U
ussr_t_80u_0;Ob'yekt 219AS | T-80 Uluchsheniye
ussr_t_80u_1;T-80U
ussr_t_80u_2;MBT
ussr_t_80u_race_shop;▹ T-80U
ussr_t_80u_race_0;▹ Ob'yekt 219AS | T-80 Uluchsheniye
ussr_t_80u_race_1;▹ T-80U
ussr_t_80u_race_2;MBT
ussr_t_80u_yt_cup_2019_shop;␙ T-80U
ussr_t_80u_yt_cup_2019_0;Ob'yekt 219AS | T-80 Uluchsheniye
ussr_t_80u_yt_cup_2019_1;␙ T-80U
ussr_t_80u_yt_cup_2019_2;MBT
ussr_t_80uk_shop;T-80UK
ussr_t_80uk_0;Ob'yekt 630A | T-80 Uluchsheniye Komanda
ussr_t_80uk_1;T-80UK
ussr_t_80uk_2;MBT
ussr_t_80um2_shop;T-80UM2
ussr_t_80um2_0;Ob'yekt 219AS-M | T-80 Uluchsheniye Modernizirovany 2
ussr_t_80um2_1;T-80UM2
ussr_t_80um2_2;MBT
ussr_t_90a_shop;T-90A
ussr_t_90a_0;Ob'yekt 188A1 | T-90A
ussr_t_90a_1;T-90A
ussr_t_90a_2;MBT
ussr_gaz_4m_shop;GAZ AAA (4M)
ussr_gaz_4m_0;Gorkovsky Avtomobilny Zavod AAA (4 Pulemot Maksima)
ussr_gaz_4m_1;GAZ AAA (4M)
ussr_gaz_4m_2;SPAA
ussr_gaz_dshk_shop;GAZ AAA (DShK)
ussr_gaz_dshk_0;Gorkovsky Avtomobilny Zavod AAA (Degtyaryova-Shpagina Krupnokaliberny)
ussr_gaz_dshk_1;GAZ AAA (DShK)
ussr_gaz_dshk_2;SPAA
ussr_gaz_mm_72k_shop;GAZ MM (72-K)
ussr_gaz_mm_72k_0;Gorkovsky Avtomobilny Zavod MM (72-K | 25-mm avtomaticheskaya zenitnaya pushka obraztsa 1940 goda)
ussr_gaz_mm_72k_1;GAZ MM (72-K)
ussr_gaz_mm_72k_2;SPAA
ussr_gaz_mm_72k_without_crew_shop;GAZ MM (72-K)
ussr_gaz_mm_72k_without_crew_0;Gorkovsky Avtomobilny Zavod MM (72-K)
